Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/users/6652e33b10eabe8e5c5c9f9c,23,22,120.0,335.18893478260304,88.72789999998076,1342.016199999989,28.47826086956522,0.038310716592960724,0.03664503326283199,120,460,510,670,700,1100,1300,1300,1300,1300,1300
DELETE,/users/6652e33c0b92b243acaf3a0b,21,20,130.0,344.06262857143724,85.35629999994399,1204.8171000000139,28.523809523809526,0.03497934993270327,0.033313666602574545,130,430,540,620,760,860,1200,1200,1200,1200,1200
DELETE,/users/6652e33c0b92b26c15af3a00,30,29,110.0,446.0242366666649,88.63250000001699,2106.754099999989,28.366666666666667,0.04997049990386181,0.04830481657373308,110,360,560,930,1900,1900,2100,2100,2100,2100,2100
DELETE,/users/6652e33c0b92b26c80af3a06,39,38,100.0,289.16423076922604,80.64810000007583,1428.020800000013,28.28205128205128,0.06496164987502036,0.06329596654489163,100,120,240,570,910,1400,1400,1400,1400,1400,1400
DELETE,/users/6652e33c0b92b29603af39f6,33,32,110.0,299.6951393939391,82.62889999997469,1274.3128000000183,28.333333333333332,0.05496754989424799,0.05330186656411927,110,240,410,540,820,1200,1300,1300,1300,1300,1300
DELETE,/users/6652e33c0b92b2f79aaf39fb,24,23,110.0,264.8654416666621,69.84569999997348,2053.8276999999425,28.458333333333332,0.03997639992308945,0.038310716592960724,110,130,230,280,610,610,2100,2100,2100,2100,2100
DELETE,/users/6652e33c10eabe15a15c9fb8,1,0,146.6402000000926,146.6402000000926,146.6402000000926,146.6402000000926,39.0,0.0016656833301287271,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/users/6652e33c10eabe59995c9fb0,31,30,110.0,378.59327419355463,80.82920000003924,1478.4530000000586,28.35483870967742,0.05163618323399054,0.04997049990386181,110,420,720,730,780,1500,1500,1500,1500,1500,1500
DELETE,/users/6652e33c10eabe683d5c9fa6,33,32,110.0,232.2953060606124,85.26360000001887,1134.7529000000236,28.333333333333332,0.05496754989424799,0.05330186656411927,110,150,230,390,590,830,1100,1100,1100,1100,1100
DELETE,/users/6652e33c10eabe7f285c9fb4,14,13,110.0,196.81707857144406,87.30830000001788,936.8236999999908,28.785714285714285,0.02331956662180218,0.02165388329167345,110,150,170,220,320,940,940,940,940,940,940
DELETE,/users/6652e33c10eabea1c55c9fa8,21,20,370.0,346.4584476190539,86.48119999998016,1120.1833999999735,28.523809523809526,0.03497934993270327,0.033313666602574545,370,470,520,520,670,670,1100,1100,1100,1100,1100
POST,/users/create,1386,27,120.0,475.06682164502087,62.77189999998711,11648.471000000009,128.7207792207792,2.308637095558416,0.044973449913475634,120,250,420,510,850,1700,4000,7500,11000,12000,12000
GET,/users/testuser,1351,15,120.0,574.5409735751305,63.01639999999509,15853.837200000002,129.70096225018506,2.25033817900391,0.024985249951930907,120,340,490,560,1100,2300,5500,8700,15000,16000,16000
,Aggregated,6663,1355,550.0,7500.369630811953,60.088799999988396,40071.765699999996,360472.59162539395,11.09844802864771,2.257000912324425,550,11000,17000,19000,23000,25000,28000,29000,34000,40000,40000
